SampleID,DNAmAge,rank,Class_Acel_Class
TCGA.BH.A1F6.01A,-30.94543314,1,Low
TCGA.BH.A203.01A,-29.66375066,2,Low
TCGA.E9.A1N6.01A,-28.20496309,3,Low
TCGA.E9.A1RF.01A,-26.43580353,4,Low
TCGA.E9.A1ND.01A,-25.75745821,5,Low
TCGA.E2.A15M.01A,-25.35448579,6,Low
TCGA.BH.A1F8.01A,-24.09030973,7,Low
TCGA.E2.A158.01A,-22.65255655,8,Low
TCGA.BH.A0E0.01A,-22.19623781,9,Low
TCGA.E2.A1LB.01A,-19.9981008,10,Low
TCGA.BH.A0H9.01A,-19.10157684,11,Low
TCGA.BH.A0BW.01A,-17.97527556,12,Low
TCGA.E9.A1RH.01A,-17.20237107,13,Low
TCGA.E9.A1NG.01A,-16.25196672,14,Low
TCGA.BH.A0H7.01A,-15.57606707,15,Low
TCGA.E2.A15K.01A,-14.85398107,16,Low
TCGA.BH.A18J.01A,-14.12963432,17,Low
TCGA.BH.A0BC.01A,-13.1148054,18,Low
TCGA.BH.A0DL.01A,-12.83190264,19,Low
TCGA.AC.A2FB.01A,-11.19368526,20,Low
TCGA.E9.A1NF.01A,-10.63370593,21,Low
TCGA.BH.A1EN.01A,-9.957959984,22,Low
TCGA.BH.A0B3.01A,-9.416620877,23,Low
TCGA.BH.A0BA.01A,-9.08364186,24,Low
TCGA.BH.A18V.01A,-8.72588849,25,Low
TCGA.BH.A0BT.01A,-8.418397795,26,Low
TCGA.BH.A1FB.01A,-8.049070902,27,Low
TCGA.BH.A1F0.01A,-7.847587739,28,Low
TCGA.BH.A1FH.01A,-7.584299278,29,Low
TCGA.E9.A1RB.01A,-5.854405558,30,Low
TCGA.BH.A1F2.01A,-5.559293084,31,Low
TCGA.A7.A13E.01A,-4.914776748,32,Low
TCGA.BH.A18Q.01A,-4.36532689,33,Low
TCGA.BH.A0AU.01A,-4.152186321,34,Low
TCGA.E2.A1LS.01A,-2.423066691,35,Low
TCGA.BH.A0C0.01A,-2.269069166,36,Low
TCGA.BH.A18R.01A,-1.718517698,37,Low
TCGA.E9.A1N5.01A,-1.322624272,38,Low
TCGA.BH.A0AZ.01A,-0.960731542,39,Low
TCGA.A7.A0D9.01A,-0.904427341,40,Low
TCGA.BH.A1FG.01A,-0.49442809,41,Low
TCGA.E2.A1L7.01A,-0.268873084,42,Low
TCGA.E2.A15I.01A,-0.096410674,43,Low
TCGA.BH.A209.01A,0.122353417,44,Low
TCGA.BH.A1ET.01A,0.540115703,45,Low
TCGA.BH.A0BZ.01A,0.781065574,46,Low
TCGA.AC.A2FM.01A,1.042778145,47,Low
TCGA.BH.A18M.01A,1.7353403,48,Low
TCGA.BH.A0B7.01A,2.085123681,49,Low
TCGA.E9.A1RD.01A,2.115887427,50,Low
TCGA.BH.A0DV.01A,2.616773052,51,Low
TCGA.BH.A0BJ.01A,3.024720205,52,Low
TCGA.BH.A208.01A,3.5775998,53,Low
TCGA.BH.A1EV.01A,3.588887793,54,Low
TCGA.BH.A1FR.01A,3.821777929,55,Low
TCGA.BH.A0B8.01A,5.166042962,56,Medium
TCGA.BH.A1FN.01A,5.393629156,57,Medium
TCGA.BH.A0DP.01A,5.482477444,58,Medium
TCGA.E2.A1BC.01A,6.493354293,59,Medium
TCGA.BH.A1FE.01A,6.827934255,60,Medium
TCGA.BH.A0C3.01A,6.998367141,61,Medium
TCGA.AC.A2FF.01A,8.012361139,62,Medium
TCGA.E2.A153.01A,8.641452135,63,Medium
TCGA.BH.A0H5.01A,8.882103146,64,Medium
TCGA.BH.A0HA.01A,9.298364635,65,Medium
TCGA.BH.A1FC.01A,11.39886991,66,Medium
TCGA.BH.A0DT.01A,13.31482278,67,Medium
TCGA.BH.A0BM.01A,13.43260967,68,Medium
TCGA.BH.A0DG.01A,14.1045794,69,Medium
TCGA.BH.A1EU.01A,15.0120935,70,High
TCGA.BH.A0DQ.01A,15.30549542,71,High
TCGA.BH.A1EW.01A,15.46207132,72,High
TCGA.BH.A18K.01A,17.21916171,73,High
TCGA.E9.A1RI.01A,18.72897416,74,High
TCGA.BH.A18P.01A,19.12177518,75,High
TCGA.BH.A18U.01A,19.23521099,76,High
TCGA.E9.A1RC.01A,19.70063713,77,High
TCGA.BH.A0DH.01A,19.88258824,78,High
TCGA.BH.A18L.01A,19.8840679,79,High
TCGA.BH.A0E1.01A,20.33922239,80,High
TCGA.BH.A1FD.01A,21.04702195,81,High
TCGA.BH.A204.01A,22.01779186,82,High
TCGA.BH.A0BQ.01A,23.38640021,83,High
TCGA.BH.A1FM.01A,26.3158938,84,High
TCGA.E9.A1R7.01A,26.50541285,85,High
TCGA.BH.A18S.01A,26.69874345,86,High
TCGA.BH.A1EO.01A,27.35266058,87,High
TCGA.E9.A1N4.01A,28.58381463,88,High
TCGA.BH.A0DK.01A,28.59214648,89,High
TCGA.BH.A18N.01A,32.8267246,90,High
TCGA.BH.A0DO.01B,37.0665399,91,High
TCGA.E9.A1NA.01A,38.57980479,92,High
TCGA.AC.A23H.01A,45.25617839,93,High
TCGA.A7.A13F.01A,48.35205804,94,High
TCGA.BH.A1FJ.01A,69.05297812,95,High
TCGA.BH.A0HK.01A,88.90485658,96,High